topic,rank,word,score
-1,0,sync,0.009146316623293004
-1,1,pr,0.008538722931318627
-1,2,firefox,0.006664179833814409
-1,3,tests,0.006273464506582994
-1,4,closed,0.006045730241512868
-1,5,upstream,0.005891801919580744
-1,6,complete,0.005871331917445447
-1,7,follow,0.005853145609919969
-1,8,mozillacentral,0.005801164988838786
-1,9,wrote,0.005801122374818198
0,0,task,0.030944598707162603
0,1,info,0.029639743422806973
0,2,pid,0.015207658434733195
0,3,info pid,0.013207793694381232
0,4,error,0.012452262595930274
0,5,warning,0.012249767013077935
0,6,log,0.011811176617251177
0,7,file,0.011697580256378964
0,8,thread,0.011466100165692657
0,9,main thread,0.011416836756413976
1,0,xuldll,0.11214558171433332
1,1,crash,0.0833012583723233
1,2,libxulso,0.06634856676701087
1,3,crash report,0.03971100313630057
1,4,xul,0.03524688463129637
1,5,frames,0.035078187712888856
1,6,report,0.03473070536191315
1,7,crashing,0.03380556598354325
1,8,crashes,0.033298198761202796
1,9,fd,0.025440531346011725
2,0,sync,0.045433776462530995
2,1,pr,0.04399269491519599
2,2,webplatformtests,0.030063075898724853
2,3,details upstream,0.030058374784087433
2,4,sync webplatformtests,0.030058374784087433
2,5,closed sync,0.030058374784087433
2,6,wptsync sync,0.030058374784087433
2,7,upstream follow,0.030058374784087433
2,8,webplatformtests pr,0.030058374784087433
2,9,complete pr,0.030058374784087433
3,0,scroll,0.05853337565342341
3,1,scrolling,0.04299373081249045
3,2,scrollbar,0.0361558403656859
3,3,zoom,0.025063904031175636
3,4,results,0.019544789289605492
3,5,viewport,0.019060399626272484
3,6,page,0.01792297067860092
3,7,smooth,0.016324026093358025
3,8,reproduce,0.015661713640040247
3,9,apz,0.015624542070712342
4,0,sync,0.0467755957239048
4,1,pr,0.04440649436383987
4,2,reviewedon,0.03463761357215902
4,3,changeid,0.03463761357215902
4,4,wptexportrevision,0.03126109785123887
4,5,closed sync,0.03079662067609507
4,6,sync complete,0.03079662067609507
4,7,details upstream,0.03079662067609507
4,8,wptsync sync,0.03079662067609507
4,9,wptsync,0.03079662067609507
5,0,nsiframe,0.0422099440553741
5,1,bytes,0.041575467754631036
5,2,nsicontent,0.03926395352708079
5,3,const,0.02858027945151866
5,4,remove,0.026977817195471498
5,5,int,0.0261559785000914
5,6,line,0.02493178353048426
5,7,int const,0.02453795403452726
5,8,const unsigned,0.01920832340069874
5,9,editor,0.018665182127182833
6,0,message,0.05275970953570755
6,1,thunderbird,0.0511474603455442
6,2,folder,0.03796378626413754
6,3,mail,0.03402857043009767
6,4,messages,0.03210954207071387
6,5,folders,0.025215778212676097
6,6,account,0.023205011416204128
6,7,email,0.021534367535306076
6,8,results,0.017492241838922718
6,9,server,0.01623625697170676
7,0,layout,0.03303999282939975
7,1,sync,0.032984908584117886
7,2,pr,0.03170861807171538
7,3,reviewedon,0.023987184438923875
7,4,changeid,0.023987184438923875
7,5,anchor,0.02332110391022888
7,6,wptexportrevision,0.022509694020053428
7,7,mozillacentral bug,0.021861255183070024
7,8,sync webplatformtests,0.021842152319488616
7,9,wptsync,0.021842152319488616
8,0,search,0.1133449352712926
8,1,history,0.0432690144685031
8,2,engine,0.03851108491899398
8,3,search engine,0.038478800848060664
8,4,bar,0.03286846779055039
8,5,searches,0.022977813207091042
8,6,suggestions,0.022915917806647253
8,7,autocomplete,0.02253573206500585
8,8,icon,0.021659487612336138
8,9,address bar,0.019627867910415767
9,0,0x0,0.05034917859586495
9,1,assertion failure,0.03627104003337245
9,2,assertion,0.035615172913903335
9,3,const,0.03454021206329044
9,4,backtrace,0.03141466011169338
9,5,mozillacentral revision,0.03126131425767726
9,6,args,0.028965579392413215
9,7,80,0.028849043805068423
9,8,unsigned,0.028464534142280427
9,9,segmentation fault,0.027996040535892178
10,0,webkit,0.2176147604213343
10,1,export,0.21010637084804354
10,2,sync,0.060457977482127855
10,3,pr,0.0575714102288681
10,4,upstream,0.04039137883315041
10,5,complete pr,0.04011069636403568
10,6,details upstream,0.04011069636403568
10,7,wptsync sync,0.04011069636403568
10,8,sync pr,0.04011069636403568
10,9,wptsync,0.04011069636403568
11,0,theme,0.0732800309661392
11,1,contrast,0.06955804727696482
11,2,dark,0.06403124532905731
11,3,color,0.059648626930928
11,4,colors,0.04212852886564456
11,5,high,0.031102952984858902
11,6,text,0.030535049792705323
11,7,light,0.02790137206873058
11,8,dark mode,0.02555531097475608
11,9,background,0.02491771374708805
12,0,audio,0.10665736542583851
12,1,microphone,0.030773198480000923
12,2,play,0.029096202461806848
12,3,permission,0.022342153414348236
12,4,video,0.01834436423935244
12,5,playback,0.018314040259212808
12,6,sound,0.01783465427371584
12,7,playing,0.016660970468603157
12,8,firefox,0.01565474966153802
12,9,sharing,0.014478739362209501
13,0,sidebar,0.09052714354527742
13,1,toolbar,0.08001730862697558
13,2,button,0.03056851256599796
13,3,bar,0.028969772870617822
13,4,panel,0.026384176377225888
13,5,menu,0.025446914876410574
13,6,vertical,0.021669138010064617
13,7,hover,0.020320659354701086
13,8,sidebar panel,0.019848107978705832
13,9,redesign,0.019652558047695293
14,0,bugs,0.07765470976618097
14,1,meta,0.04514815723511088
14,2,tracking,0.04033892024932469
14,3,tracking bug,0.031697786668290914
14,4,bugzilla,0.02687745985066379
14,5,new bug,0.0179413026394112
14,6,page,0.015777272445760562
14,7,installation,0.015116292576785921
