component,S1,S2,S3,S4
Canvas Debugger,0.0,0.0,1.0,0.0
ChatZilla,0.2,0.06666666666666667,0.6666666666666666,0.06666666666666667
Classification Engine,0.0,0.0,1.0,0.0
Client,0.0,0.0,1.0,0.0
Client: Desktop,0.0,0.0,1.0,0.0
Cmd-line Features,0.0,0.0,0.5,0.5
Code Cleanup,0.0,0.0,1.0,0.0
Code Coverage,0.0,0.03389830508474576,0.7966101694915254,0.1694915254237288
Code Quality,0.0,0.0,1.0,0.0
Collections,0.0,0.2,0.6,0.2
Community IT: Discourse,0.0,0.0,1.0,0.0
Community Ops,0.0,0.0,1.0,0.0
Compatibility,0.0,0.08,0.92,0.0
Compiler,0.0,0.0,1.0,0.0
Composer,0.0,0.0,1.0,0.0
Composition,0.13793103448275862,0.11494252873563218,0.6781609195402298,0.06896551724137931
Condprofile,0.0,0.0,0.4444444444444444,0.5555555555555556
Console,0.0,0.014814814814814815,0.8888888888888888,0.0962962962962963
Consultation,0.0,0.0,1.0,0.0
Consumer Pages,0.0,0.0,1.0,0.0
Content Prompts,0.0,0.0,0.6,0.4
Continous Integration,0.5,0.0,0.5,0.0
Core,0.0,0.0,1.0,0.0
Corporate VPN: ACL requests,0.0,0.0,1.0,0.0
Corporate VPN: Support requests,0.0,0.0,1.0,0.0
Crash Reporting,0.03398058252427184,0.21844660194174756,0.5631067961165048,0.18446601941747573
Creating/Changing Bugs,0.0,0.0,1.0,0.0
Custom Bug Entry Forms,0.0,0.1111111111111111,0.8888888888888888,0.0
Custom Tabs,0.3333333333333333,0.0,0.6666666666666666,0.0
Cycle Collector,0.0,0.25,0.75,0.0
DCOps,0.0,0.0,1.0,0.0
DLL Services,0.0,0.0,0.6875,0.3125
DMD,0.0,0.0,1.0,0.0
DNS and Domain Registration,0.0,0.2,0.8,0.0
DOM,0.0,0.0,0.6666666666666666,0.3333333333333333
DOM Inspector,0.0,0.0,1.0,0.0
DOM: Animation,0.025,0.0625,0.825,0.0875
DOM: Apps,0.0,0.0,1.0,0.0
DOM: Bindings (WebIDL),0.0,0.031578947368421054,0.9263157894736842,0.042105263157894736
DOM: CSS Object Model,0.01639344262295082,0.03278688524590164,0.8688524590163934,0.08196721311475409
DOM: Contacts,0.0,0.0,1.0,0.0
DOM: Content Processes,0.051470588235294115,0.07352941176470588,0.7794117647058824,0.09558823529411764
DOM: Copy & Paste and Drag & Drop,0.0,0.2982456140350877,0.631578947368421,0.07017543859649122
DOM: Core & HTML,0.024049217002237135,0.05480984340044743,0.7986577181208053,0.12248322147651007
DOM: Credential Management,0.0,0.02702702702702703,0.3783783783783784,0.5945945945945946
DOM: Device Interfaces,0.0,0.02702702702702703,0.9324324324324325,0.04054054054054054
DOM: Editor,0.03672787979966611,0.11352253756260434,0.7846410684474123,0.0651085141903172
DOM: Events,0.016666666666666666,0.08333333333333333,0.8375,0.0625
DOM: File,0.02,0.12,0.7933333333333333,0.06666666666666667
DOM: Forms,0.0,0.058823529411764705,0.9411764705882353,0.0
DOM: Geolocation,0.0,0.05555555555555555,0.7777777777777778,0.16666666666666666
DOM: HTML Parser,0.0975609756097561,0.10975609756097561,0.7560975609756098,0.036585365853658534
DOM: Navigation,0.03319502074688797,0.11410788381742738,0.7655601659751037,0.08713692946058091
