product,S1,S2,S3,S4
Tracking,0.0,0.0,1.0,0.0
Tracking Graveyard,0.0,0.0,1.0,0.0
Tree Management,0.047619047619047616,0.007936507936507936,0.9444444444444444,0.0
Tree Management Graveyard,0.0,0.1111111111111111,0.8888888888888888,0.0
User Experience Design Graveyard,0.0,0.0,1.0,0.0
User Research,0.0,0.045454545454545456,0.9545454545454546,0.0
Web Apps Graveyard,0.0,0.0,1.0,0.0
Web Compatibility,0.01021566401816118,0.43246311010215666,0.4619750283768445,0.09534619750283768
WebExtensions,0.00906344410876133,0.0649546827794562,0.6631419939577039,0.2628398791540785
Websites,0.045454545454545456,0.0,0.9545454545454546,0.0
Webtools,0.0,0.0,0.7692307692307693,0.23076923076923078
Webtools Graveyard,0.0,0.0,1.0,0.0
addons.mozilla.org Graveyard,0.2,0.0,0.8,0.0
bugzilla.mozilla.org,0.022222222222222223,0.03111111111111111,0.9466666666666667,0.0
developer.mozilla.org,0.0,0.0,1.0,0.0
developer.mozilla.org Graveyard,0.037037037037037035,0.0,0.9629629629629629,0.0
mozilla.org,0.04285714285714286,0.0,0.9571428571428572,0.0
mozilla.org Graveyard,0.25,0.25,0.5,0.0
support.mozilla.org,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.0
www.mozilla.org,0.0,0.18181818181818182,0.8181818181818182,0.0
