topic,entropy
-1,0.6538179657613035
0,0.5297346086137844
1,0.6886714232200872
2,0.5505734282909341
3,0.5859526183035508
4,0.7849262218062668
5,0.7909503376160909
6,0.40954371150376156
7,0.8363088619543069
8,0.8249805181901201
9,0.522225266854475
10,0.5046253523109778
11,0.9414399478356092
12,0.3005898904989962
13,0.18150586263539636
14,0.30962746063102786
15,0.5547068006731523
16,0.5508905617337477
17,0.0
18,0.7922121916102849
19,0.6560652413008307
20,0.138459856720914
21,0.5077515108879549
22,0.0
23,0.8537543434751134
24,0.18683705942116682
25,0.11690684913753106
26,0.24161371731792947
27,0.34447158998268457
28,0.8299891917540367
29,0.1814630866953606
30,0.6177459542831862
31,0.4980609542731745
32,0.8293807511151716
33,0.5715184887998093
34,0.7690965908532921
35,0.8043160437384312
36,0.3363617426924585
37,0.40841952934744874
38,0.3293350601618895
39,0.25315351274455067
40,0.3594396176949324
41,0.5062950093588472
42,0.46073002053264234
43,0.7177514538717835
44,1.0761813180172608
45,0.6866022772194198
46,0.8434234402190571
47,0.2579853726244108
48,1.1912473658488127
49,0.22860912561807162
50,0.3053909024730642
51,0.31590094574412436
52,0.2306670192020766
53,0.773721258903399
54,0.7544484820310796
55,0.1607216478472394
56,0.32263980303667306
57,0.746707500944257
58,0.20158364614073146
59,0.6505278840845051
60,0.46149968934117147
61,0.4528693103251815
62,0.06586093594147825
63,0.773605126552096
64,0.16834194654954104
65,0.5785328437149682
66,0.9303002313730384
67,0.6754942730867566
68,0.9328735118608089
69,0.43884526701351345
70,0.3820089271268114
71,1.2033549409083033
72,0.18683705942116682
73,0.0
74,0.6713799862903257
75,0.6415874327373514
76,0.6132369301317253
77,0.26091584747488145
78,0.8610744375927264
79,0.24493002679463532
80,0.6653130178037676
81,0.23032354087587759
82,0.6844104078380888
83,0.25290688996302524
84,0.7882540544051471
85,0.22149585411731387
86,0.26271279143854664
87,0.21861995846887983
88,0.7099232465545265
89,0.7968938820152498
90,0.3445982481028227
91,0.39267446722755217
92,0.7311249801014379
93,0.48583720365686234
94,0.26116008596552864
95,0.0
