type,S1,S2,S3,S4
--,1.0,0.0,0.0,0.0
defect,0.035882624768946395,0.1205637707948244,0.6660351201478744,0.1775184842883549
enhancement,0.0013204225352112676,0.020796654929577465,0.9486135563380281,0.029269366197183098
task,0.003711662434069154,0.02441883180308654,0.9159992185973823,0.055870287165462
