product,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
Cloud Services Graveyard,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community Building,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conduit,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conduit Graveyard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Content Services Graveyard,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
Core,0.5452873065685532,0.006579374526566389,0.0003462828698192836,0.021058327020885184,0.0,0.00021642679363705227,2.1642679363705225e-05,0.0034628286981928363,6.492803809111568e-05,0.0003462828698192836,0.0015799155935504816,0.0009306352126393247,0.0016664863110053025,0.009349637485120658,0.004480034628286982,0.0007791364570933881,0.0036792554918298886,0.0016015582729141868,0.002770262958554269,0.0026404068823720375,0.00844064495184504,0.00190455578400606,0.003419543339465426,0.0006276377015474515,0.0011037766475489666,0.0001514987555459366,0.00028135483172816794,0.001991126501460881,0.01999783573206363,0.008700357104209501,0.00019478411427334703,0.0058435234282004115,0.01999783573206363,0.006233091656747105,0.00575695271074559,0.0006492803809111568,0.002597121523644627,0.0015582729141867763,0.005021101612379612,0.0016015582729141868,0.00019478411427334703,0.0023374093712801645,0.0003246401904555784,0.007683151174115356,0.009652634996212531,0.01138404934530895,0.0006925657396385672,0.005627096634563359,0.00021642679363705227,0.040255383616491724,0.0054323125202900115,0.0015366302348230711,0.008765285142300617,0.0018396277459149443,0.037463477978573745,0.009501136240666595,0.001514987555459366,0.0031598311871009633,0.0006492803809111568,0.0014717021967319555,0.00036792554918298886,0.0032896872632831946,0.007488367059842008,0.006601017205930094,0.003029975110918732,0.0006276377015474515,0.0001731414349096418,0.003051617790282437,0.004739746780651445,2.1642679363705225e-05,0.002120982577643112,0.0036792554918298886,0.018720917649605023,0.00430689319337734,0.003960610323558057,0.003917324964830646,0.004609890704469213,0.0004977816253652202,0.00025971215236446273,0.0001731414349096418,4.328535872741045e-05,0.000757493777729683,0.0006059950221837464,0.002077697218915702,0.0002380694730007575,0.0030083324315550264,0.0033113299426468998,0.01859106157342279,0.019608267503516935,0.0006492803809111568,0.0006709230602748621,0.003895682285466941,0.004566605345741803,0.0006059950221837464,0.00038956822854669407,0.01473866464668326,0.0019694838220971757
Core Graveyard,0.592326139088729,0.002398081534772182,0.04316546762589928,0.0,0.002398081534772182,0.0,0.0,0.002398081534772182,0.0,0.0,0.0,0.002398081534772182,0.002398081534772182,0.0,0.0,0.0,0.002398081534772182,0.004796163069544364,0.0,0.0,0.004796163069544364,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.03357314148681055,0.019184652278177457,0.009592326139088728,0.002398081534772182,0.019184652278177457,0.0,0.009592326139088728,0.004796163069544364,0.0,0.0,0.0,0.002398081534772182,0.0,0.02158273381294964,0.002398081534772182,0.002398081534772182,0.002398081534772182,0.002398081534772182,0.0,0.0,0.0,0.08393285371702638,0.002398081534772182,0.0,0.002398081534772182,0.0,0.03357314148681055,0.002398081534772182,0.002398081534772182,0.009592326139088728,0.019184652278177457,0.0,0.002398081534772182,0.002398081534772182,0.0,0.0,0.0,0.0,0.0,0.004796163069544364,0.009592326139088728,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.002398081534772182,0.0,0.0,0.002398081534772182,0.0,0.004796163069544364,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.0,0.004796163069544364,0.007194244604316547,0.0,0.0,0.002398081534772182,0.002398081534772182,0.0,0.0
Crash Pings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data & BI Services Team,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Platform and Tools,0.5363128491620112,0.0,0.0,0.0,0.0,0.0,0.0,0.0013966480446927375,0.002793296089385475,0.0,0.0013966480446927375,0.0013966480446927375,0.0,0.0,0.0,0.0013966480446927375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013966480446927375,0.0,0.002793296089385475,0.002793296089385475,0.0013966480446927375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019553072625698324,0.10195530726256984,0.004189944134078212,0.019553072625698324,0.0013966480446927375,0.0013966480446927375,0.0,0.0013966480446927375,0.0,0.00558659217877095,0.02094972067039106,0.0,0.0,0.0,0.0,0.015363128491620111,0.0,0.0,0.0013966480446927375,0.0,0.0,0.0111731843575419,0.0013966480446927375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013966480446927375,0.0013966480446927375,0.002793296089385475,0.051675977653631286,0.18156424581005587,0.0013966480446927375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013966480446927375,0.0
