type,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
--,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defect,0.48603464482341885,0.010451636005550333,0.0036032406785730274,0.000268564522626561,0.000268564522626561,0.003155633140862092,0.001633767512644913,0.002976590125777718,0.0031332527639765452,0.0004699879145964818,0.005863658744013249,0.0007385524372230429,0.013002998970502663,0.0036703818092296676,0.0008056935678796831,0.0007161720603374961,0.002260418065440222,0.002372319949867956,0.00020142339196992077,0.0009399758291929637,0.007631708517971443,0.001096638467391791,0.0014771048744460858,2.2380376885546754e-05,0.016449577010876862,0.001521865628217179,0.0008056935678796831,0.001454724497560539,0.009892126583411664,0.01060829864374916,0.0007385524372230429,0.0037599033167718546,0.02385748175999284,0.01130209032720111,0.003916565954970682,0.007005057965176134,0.0023947003267535023,0.0009623562060785103,0.004789400653507005,0.002148516181012488,0.0009847365829640572,0.005527953090730048,0.0012533011055906181,0.008392641332080033,0.010362114498008147,0.011727317488026499,0.00029094489951210777,0.006579830804350745,0.0006266505527953091,0.05245960341972159,0.0016785282664160065,0.0006042701759097623,0.0010518777136206974,0.001096638467391791,0.09874222281903228,0.011212568819658923,0.001186159974933978,0.002260418065440222,0.004990824045476926,0.0005595094221386688,0.0034465780403741997,0.0034465780403741997,0.0007161720603374961,0.0008952150754218701,0.0002461841457410143,0.00022380376885546753,0.00038046640705429477,0.0042075108544827895,0.004878922161049192,0.0017680497739581934,0.0017904301508437402,0.0006490309296808558,0.017255270578756546,0.0006490309296808558,0.00020142339196992077,0.00812407680945347,0.0062217447741819976,0.006020321382212077,0.0020589946734703014,0.006535070050579652,0.00011190188442773377,0.013875833669038986,0.00015666263819882727,0.0008728346985363234,0.0010294973367351507,0.012689673694105008,0.0029318293720066247,0.0006937916834519494,0.00044760753771093506,0.005460811960073407,0.006893156080748399,0.00022380376885546753,0.00022380376885546753,0.005930799874669889,0.0026408844724945166,6.714113065664025e-05,4.476075377109351e-05
enhancement,0.6370464068305794,0.0015020950272748835,0.001739267926318286,0.0006324610641157403,0.00838010909953356,0.0013439797612459484,0.0006324610641157403,0.004743457980868053,0.0,0.0016602102933038186,0.016602102933038185,0.0013439797612459484,0.0004743457980868053,0.003320420586607637,0.00774764803541782,0.0013439797612459484,0.003320420586607637,0.0010277492291880781,0.0001581152660289351,0.0009486915961736106,0.0068780140722586765,0.0016602102933038186,0.002767017155506364,0.0001581152660289351,0.008538224365562496,0.0032413629535931695,0.0023717289904340265,0.002134556091390624,0.025219384931615147,0.005059688512925923,0.0032413629535931695,0.007036129338287612,0.009724088860779509,0.0007115186971302079,0.015653411336864573,0.00932880069570717,0.0037947663846944423,0.0018183255593327535,0.002134556091390624,0.008933512530634832,0.003004190054549767,0.010830895722982055,0.003478535852636572,0.0019764408253616886,0.0006324610641157403,0.0013439797612459484,0.0007115186971302079,0.0006324610641157403,0.003478535852636572,0.006798956439244209,0.0056130919440271956,0.0019764408253616886,0.002608901889477429,0.005217803778954858,0.006324610641157404,0.00039528816507233773,0.0026879595224918967,0.008933512530634832,0.0035575934856510397,0.0020554984583761563,0.005454976677998261,0.00838010909953356,0.0003162305320578702,0.0019764408253616886,0.0003162305320578702,0.0011068068622025456,0.0011858644952170132,0.0023717289904340265,0.003004190054549767,0.003478535852636572,0.0011068068622025456,0.007589532769388885,0.003320420586607637,0.0011858644952170132,0.0004743457980868053,0.003004190054549767,0.0012649221282314807,0.00039528816507233773,0.0011068068622025456,0.0010277492291880781,0.0019764408253616886,0.011305241521068859,0.002450786623448494,0.0018183255593327535,0.00774764803541782,0.010514665190924184,0.0015020950272748835,0.0011858644952170132,0.001581152660289351,0.0056130919440271956,0.006008380109099534,0.00039528816507233773,0.0001581152660289351,0.007826705668432287,0.004269112182781248,0.0004743457980868053,0.0004743457980868053
task,0.5941468199901903,0.0011172270968445148,0.0015804676004141916,0.028911657311025123,0.001362472069322579,0.0029974385525096737,0.0028611913455774155,0.0013079731865496757,0.00043599106218322525,0.001089977655458063,0.0052591421875851545,0.00051773938634258,0.00013624720693225788,0.0064036187258161206,0.002670445255872255,0.012207749741130307,0.0008719821243664505,0.00010899776554580631,0.003733173469943866,0.003351681290533544,0.0017712136901193525,0.0005722382691154831,0.001743964248732901,0.010954275437353535,0.004196413973513543,0.0016349664831870946,0.003269932966374189,0.00043599106218322525,0.010899776554580631,0.0011444765382309663,0.006839609787999346,0.0048504005667883805,0.002724944138645158,0.0007629843588206442,0.006785110905226443,0.002207204752302578,0.0008719821243664505,0.00021799553109161263,0.0003814921794103221,0.005095645539266445,0.0028884407869638673,0.005286391628971606,0.0034606790560793503,0.00021799553109161263,0.00027249441386451576,0.0004632405035696768,0.0019619597798245137,0.00029974385525096737,0.003487928497465802,0.0037059240285574144,0.0037059240285574144,0.00103547877268516,0.012807237451632241,0.008937816774756118,0.004414409504605156,0.00043599106218322525,0.001607717041800643,0.003951169001035479,0.0010082293312987083,0.001607717041800643,0.0023434519592348355,0.0023707014006212872,0.01002779443021418,0.007193852526023217,0.0036241757043980597,0.003024687993896125,0.004959398332334187,0.0009264810071393536,0.00051773938634258,0.001089977655458063,0.0005994877105019347,0.0013897215107090304,0.0020164586625974167,0.005858629898087089,0.004986647773720639,0.0003814921794103221,0.00010899776554580631,2.7249441386451578e-05,0.007411848057114829,0.00103547877268516,0.0011717259796174178,0.006349119843043218,0.0015259687176412884,0.006240122077497411,0.0028611913455774155,0.0025614474903264484,0.0006812360346612895,0.02299852853016513,0.03833996403073737,0.001089977655458063,0.003760422911330318,0.004959398332334187,0.005994877105019347,0.005831380456700638,0.0012534743037767725,0.030846367649463188,0.0036514251457845114
